"Time","myMedian.getCount()","currentADC","currentAverage","lastSignificantAverage","deltaAverage","triggered","fading","fadeDir","fadeValue"
262253,19,418,393.00,392.89,0.11,1,0,1,0
262272,19,433,393.00,392.89,0.11,1,0,1,0
262290,19,389,393.00,392.78,0.22,1,0,1,0
262308,19,393,393.00,392.78,0.22,1,0,1,0
262326,19,389,393.00,392.78,0.22,1,0,1,0
262344,19,392,392.89,392.89,0.00,1,0,1,0
262362,19,389,392.78,393.00,-0.22,1,0,1,0
262380,19,393,392.78,393.00,-0.22,1,0,1,0
262398,19,389,392.67,393.00,-0.33,1,0,1,0
262416,19,386,392.33,393.00,-0.67,1,0,1,0
262434,19,430,392.33,393.00,-0.67,1,0,1,0
262452,19,401,392.33,393.00,-0.67,1,0,1,0
262470,19,389,391.89,392.89,-1.00,1,0,1,0
262488,19,393,391.89,392.78,-0.89,1,0,1,0
262506,19,393,392.00,392.78,-0.78,1,0,1,0
262524,19,393,392.44,392.67,-0.22,1,0,1,0
262542,19,393,392.44,392.33,0.11,1,0,1,0
262560,19,393,392.44,392.33,0.11,1,0,1,0
262578,19,392,392.33,392.33,0.00,1,0,1,0
262596,19,429,392.33,391.89,0.44,1,0,1,0
262614,19,406,392.33,391.89,0.44,1,0,1,0
262632,19,393,392.78,392.00,0.78,1,0,1,0
262650,19,393,392.78,392.44,0.33,1,0,1,0
262668,19,389,392.78,392.44,0.33,1,0,1,0
262686,19,393,392.89,392.44,0.44,1,0,1,0
262704,19,393,393.00,392.33,0.67,1,0,1,0
262722,19,393,393.00,392.33,0.67,1,0,1,0
262740,19,389,393.00,392.33,0.67,1,0,1,0
262758,19,423,393.00,392.78,0.22,1,0,1,0
262776,19,408,393.00,392.78,0.22,1,0,1,0
262794,19,400,393.00,392.78,0.22,1,0,1,0
262812,19,393,393.00,392.89,0.11,1,0,1,0
262830,19,389,393.00,393.00,0.00,1,0,1,0
262848,19,389,393.00,393.00,0.00,1,0,1,0
262866,19,389,392.89,393.00,-0.11,1,0,1,0
262884,19,393,392.89,393.00,-0.11,1,0,1,0
262902,19,389,392.44,393.00,-0.56,1,0,1,0
262920,19,386,392.11,393.00,-0.89,1,0,1,0
262938,19,436,392.11,393.00,-0.89,0,1,0,0
262941,19,436,392.11,393.00,-0.89,0,1,0,1
262956,19,397,392.11,393.00,-0.89,0,1,0,1
262974,19,393,392.11,393.00,-0.89,0,1,0,1
262977,19,393,392.11,393.00,-0.89,0,1,0,2
262992,19,392,392.00,392.89,-0.89,0,1,0,2
263010,19,392,392.33,392.89,-0.56,0,1,0,2
263013,19,392,392.33,392.89,-0.56,0,1,0,3
263028,19,392,392.22,392.44,-0.22,0,1,0,3
263046,19,389,391.78,392.11,-0.33,0,1,0,3
263049,19,389,391.78,392.11,-0.33,0,1,0,4
263064,19,393,391.78,392.11,-0.33,0,1,0,4
263083,19,386,391.78,392.11,-0.33,0,1,0,4
263086,19,386,391.78,392.11,-0.33,0,1,0,5
263101,19,431,391.78,392.11,-0.33,0,1,0,5
263119,19,402,391.78,392.00,-0.22,0,1,0,5
263122,19,402,391.78,392.00,-0.22,0,1,0,6
263137,19,393,391.78,392.33,-0.56,0,1,0,6
263155,19,389,391.33,392.22,-0.89,0,1,0,6
263158,19,389,391.33,392.22,-0.89,0,1,0,7
263173,19,393,391.78,391.78,0.00,0,1,0,7
263191,19,392,392.11,391.78,0.33,0,1,0,7
263194,19,392,392.11,391.78,0.33,0,1,0,8
263209,19,389,392.11,391.78,0.33,0,1,0,8
263227,19,389,391.67,391.78,-0.11,0,1,0,8
263230,19,389,391.67,391.78,-0.11,0,1,0,9
263245,19,392,392.00,391.78,0.22,0,1,0,9
263263,19,426,392.44,391.78,0.67,0,1,0,9
263266,19,426,392.44,391.78,0.67,0,1,0,10
263281,19,405,392.44,391.33,1.11,0,1,0,10
263299,19,398,392.44,391.78,0.67,0,1,0,10
263302,19,398,392.44,391.78,0.67,0,1,0,11
263317,19,389,392.00,392.11,-0.11,0,1,0,11
263335,19,392,392.00,392.11,-0.11,0,1,0,11
263339,19,392,392.00,392.11,-0.11,0,1,0,12
263353,19,393,392.11,391.67,0.44,0,1,0,12
263371,19,392,392.11,392.00,0.11,0,1,0,12
263375,19,392,392.11,392.00,0.11,0,1,0,13
263389,19,392,392.44,392.44,0.00,0,1,0,13
263407,19,393,392.44,392.44,0.00,0,1,0,13
263411,19,393,392.44,392.44,0.00,0,1,0,14
263425,19,405,393.11,392.44,0.67,0,1,0,14
263443,19,435,393.11,392.00,1.11,0,1,0,14
263447,19,435,393.11,392.00,1.11,0,1,0,15
263461,19,400,393.11,392.00,1.11,0,1,0,15
263479,19,389,393.00,392.11,0.89,0,1,0,15
263483,19,389,393.00,392.11,0.89,0,1,0,16
263497,19,389,393.00,392.11,0.89,0,1,0,16
263515,19,393,393.00,392.44,0.56,0,1,0,16
263519,19,393,393.00,392.44,0.56,0,1,0,17
263533,19,389,392.67,392.44,0.22,0,1,0,17
263552,19,389,392.67,393.11,-0.44,0,1,0,17
263555,19,389,392.67,393.11,-0.44,0,1,0,18
263570,19,389,392.67,393.11,-0.44,0,1,0,18
263588,19,384,392.33,393.11,-0.78,0,1,0,18
263591,19,384,392.33,393.11,-0.78,0,1,0,19
263606,19,431,392.33,393.00,-0.67,0,1,0,19
263624,19,397,392.22,393.00,-0.78,0,1,0,19
263627,19,397,392.22,393.00,-0.78,0,1,0,20
263642,19,389,391.33,393.00,-1.67,0,1,0,20
263660,19,389,391.33,392.67,-1.33,0,1,0,20
263663,19,389,391.33,392.67,-1.33,0,1,0,21
263678,19,389,391.00,392.67,-1.67,0,1,0,21
263696,19,388,390.56,392.67,-2.11,0,1,0,21
263700,19,388,390.56,392.67,-2.11,0,1,0,22
263714,19,392,390.56,392.33,-1.78,0,1,0,22
263732,19,392,390.56,392.33,-1.78,0,1,0,22
263736,19,392,390.56,392.33,-1.78,0,1,0,23
263750,19,384,390.11,392.22,-2.11,0,1,0,23
263768,19,426,390.11,391.33,-1.22,0,1,0,23
263772,19,426,390.11,391.33,-1.22,0,1,0,24
263786,19,405,390.11,391.33,-1.22,0,1,0,24
263804,19,389,389.67,391.00,-1.33,0,1,0,24
263808,19,389,389.67,391.00,-1.33,0,1,0,25
263822,19,393,390.11,390.56,-0.44,0,1,0,25
263840,19,389,390.11,390.56,-0.44,0,1,0,25
263844,19,389,390.11,390.56,-0.44,0,1,0,26
263858,19,389,389.67,390.56,-0.89,0,1,0,26
263876,19,389,389.67,390.11,-0.44,0,1,0,26
263880,19,389,389.67,390.11,-0.44,0,1,0,27
263894,19,389,389.67,390.11,-0.44,0,1,0,27
263912,19,393,390.11,390.11,0.00,0,1,0,27
263916,19,393,390.11,390.11,0.00,0,1,0,28
263930,19,421,390.56,389.67,0.89,0,1,0,28
263948,19,439,390.56,390.11,0.44,0,1,0,28
263952,19,439,390.56,390.11,0.44,0,1,0,29
263966,19,399,390.56,390.11,0.44,0,1,0,29
263984,19,389,390.56,389.67,0.89,0,1,0,29
263988,19,389,390.56,389.67,0.89,0,1,0,30
264002,19,389,390.56,389.67,0.89,0,1,0,30
264020,19,392,390.89,389.67,1.22,0,1,0,30
264024,19,392,390.89,389.67,1.22,0,1,0,31
264038,19,393,391.33,390.11,1.22,0,1,0,31
264056,19,392,391.33,390.56,0.78,0,1,0,31
264060,19,392,391.33,390.56,0.78,0,1,0,32
264074,19,389,391.00,390.56,0.44,0,1,0,32
264092,19,385,391.00,390.56,0.44,0,1,0,32
264096,19,385,391.00,390.56,0.44,0,1,0,33
264110,19,436,391.00,390.56,0.44,0,1,0,33
264128,19,400,391.00,390.56,0.44,0,1,0,33
264132,19,400,391.00,390.56,0.44,0,1,0,34
264146,19,389,391.00,390.89,0.11,0,1,0,34
264164,19,389,390.56,391.33,-0.78,0,1,0,34
264168,19,389,390.56,391.33,-0.78,0,1,0,35
264182,19,392,390.89,391.33,-0.44,0,1,0,35
264200,19,389,390.89,391.00,-0.11,0,1,0,35
264204,19,389,390.89,391.00,-0.11,0,1,0,36
264218,19,392,391.22,391.00,0.22,0,1,0,36
264236,19,389,391.22,391.00,0.22,0,1,0,36
264240,19,389,391.22,391.00,0.22,0,1,0,37
264254,19,386,390.78,391.00,-0.22,0,1,0,37
264272,19,425,390.78,391.00,-0.22,0,1,0,37
264276,19,425,390.78,391.00,-0.22,0,1,0,38
264290,19,401,390.78,390.56,0.22,0,1,0,38
264308,19,397,390.78,390.89,-0.11,0,1,0,38
264312,19,397,390.78,390.89,-0.11,0,1,0,39
264326,19,392,391.11,390.89,0.22,0,1,0,39
264344,19,393,391.56,391.22,0.33,0,1,0,39
264348,19,393,391.56,391.22,0.33,0,1,0,40
264363,19,389,391.22,391.22,0.00,0,1,0,40
264381,19,392,391.11,390.78,0.33,0,1,0,40
264384,19,392,391.11,390.78,0.33,0,1,0,41
264399,19,393,391.22,390.78,0.44,0,1,0,41
264417,19,389,391.22,390.78,0.44,0,1,0,41
264420,19,389,391.22,390.78,0.44,0,1,0,42
264435,19,426,392.11,390.78,1.33,0,1,0,42
264453,19,404,392.11,391.11,1.00,0,1,0,42
264456,19,404,392.11,391.11,1.00,0,1,0,43
264471,19,398,392.11,391.56,0.56,0,1,0,43
264489,19,393,392.56,391.22,1.33,0,1,0,43
264493,19,393,392.56,391.22,1.33,0,1,0,44
264507,19,392,392.89,391.11,1.78,0,1,0,44
264525,19,392,392.89,391.22,1.67,0,1,0,44
264529,19,392,392.89,391.22,1.67,0,1,0,45
264543,19,392,392.89,391.22,1.67,0,1,0,45
264561,19,389,392.89,392.11,0.78,0,1,0,45
