"Time","myMedian.getCount()","currentADC","currentAverage","lastSignificantAverage","deltaAverage","triggered","fading","fadeDir","fadeValue"
408462,19,383,384.33,384.44,-0.11,1,0,1,0
408480,19,384,384.11,384.44,-0.33,1,0,1,0
408498,19,383,383.67,384.44,-0.78,1,0,1,0
408516,19,392,384.11,384.33,-0.22,1,0,1,0
408534,19,387,384.11,384.22,-0.11,1,0,1,0
408552,19,385,383.89,384.67,-0.78,1,0,1,0
408570,19,384,383.89,384.67,-0.78,1,0,1,0
408588,19,383,383.89,384.33,-0.44,1,0,1,0
408606,19,382,383.89,384.11,-0.22,1,0,1,0
408624,19,383,383.89,383.67,0.22,1,0,1,0
408642,19,383,383.56,384.11,-0.56,1,0,1,0
408660,19,384,383.67,384.11,-0.44,1,0,1,0
408678,19,382,383.67,383.89,-0.22,1,0,1,0
408696,19,385,383.67,383.89,-0.22,1,0,1,0
408714,19,385,383.67,383.89,-0.22,1,0,1,0
408732,19,384,383.67,383.89,-0.22,1,0,1,0
408750,19,383,383.67,383.89,-0.22,1,0,1,0
408768,19,384,383.56,383.56,0.00,1,0,1,0
408786,19,383,383.56,383.67,-0.11,1,0,1,0
408804,19,387,383.78,383.67,0.11,1,0,1,0
408822,19,383,383.67,383.67,0.00,1,0,1,0
408840,19,383,383.67,383.67,0.00,1,0,1,0
408858,19,390,383.67,383.67,0.00,1,0,1,0
408876,19,386,383.67,383.67,0.00,1,0,1,0
408894,19,385,383.67,383.56,0.11,1,0,1,0
408912,19,385,383.78,383.56,0.22,1,0,1,0
408930,19,383,383.78,383.78,0.00,1,0,1,0
408948,19,383,383.78,383.67,0.11,1,0,1,0
408966,19,383,383.78,383.67,0.11,1,0,1,0
408984,19,386,384.00,383.67,0.33,1,0,1,0
409003,19,382,383.89,383.67,0.22,1,0,1,0
409021,19,391,384.11,383.67,0.44,1,0,1,0
409039,19,387,384.22,383.78,0.44,1,0,1,0
409057,19,385,384.22,383.78,0.44,1,0,1,0
409075,19,384,384.22,383.78,0.44,1,0,1,0
409093,19,383,384.22,383.78,0.44,1,0,1,0
409111,19,383,384.11,384.00,0.11,1,0,1,0
409129,19,383,384.11,383.89,0.22,1,0,1,0
409147,19,383,383.78,384.11,-0.33,1,0,1,0
409165,19,383,383.78,384.22,-0.44,1,0,1,0
409183,19,383,383.78,384.22,-0.44,1,0,1,0
409201,19,388,383.78,384.22,-0.44,1,0,1,0
409219,19,385,383.78,384.22,-0.44,1,0,1,0
409237,19,385,383.78,384.11,-0.33,1,0,1,0
409255,19,383,383.56,384.11,-0.56,1,0,1,0
409273,19,383,383.56,383.78,-0.22,1,0,1,0
409291,19,383,383.56,383.78,-0.22,1,0,1,0
409309,19,383,383.56,383.78,-0.22,1,0,1,0
409327,19,383,383.33,383.78,-0.44,1,0,1,0
409345,19,383,383.33,383.78,-0.44,1,0,1,0
409363,19,389,383.33,383.78,-0.44,1,0,1,0
409381,19,386,383.33,383.56,-0.22,1,0,1,0
409399,19,384,383.22,383.56,-0.33,1,0,1,0
409417,19,383,383.11,383.56,-0.44,1,0,1,0
409435,19,383,383.11,383.56,-0.44,1,0,1,0
409453,19,383,383.11,383.33,-0.22,1,0,1,0
409472,19,383,383.11,383.33,-0.22,1,0,1,0
409490,19,379,383.11,383.33,-0.22,1,0,1,0
409508,19,382,383.11,383.33,-0.22,1,0,1,0
409526,19,391,383.33,383.22,0.11,1,0,1,0
409544,19,386,383.33,383.11,0.22,1,0,1,0
409562,19,384,383.22,383.11,0.11,1,0,1,0
409580,19,384,383.22,383.11,0.11,1,0,1,0
409598,19,383,383.22,383.11,0.11,1,0,1,0
409616,19,383,383.22,383.11,0.11,1,0,1,0
409634,19,383,383.22,383.11,0.11,1,0,1,0
409652,19,383,383.22,383.33,-0.11,1,0,1,0
409670,19,382,383.22,383.33,-0.11,1,0,1,0
409688,19,383,383.22,383.22,0.00,1,0,1,0
409706,19,387,383.22,383.22,0.00,1,0,1,0
409724,19,385,383.22,383.22,0.00,1,0,1,0
409742,19,384,383.22,383.22,0.00,1,0,1,0
409760,19,383,383.22,383.22,0.00,1,0,1,0
409778,19,383,383.22,383.22,0.00,1,0,1,0
409796,19,383,383.22,383.22,0.00,1,0,1,0
409814,19,383,383.22,383.22,0.00,1,0,1,0
409832,19,382,383.22,383.22,0.00,1,0,1,0
409850,19,383,383.22,383.22,0.00,1,0,1,0
409868,19,389,383.22,383.22,0.00,1,0,1,0
409886,19,385,383.22,383.22,0.00,1,0,1,0
409904,19,384,383.22,383.22,0.00,1,0,1,0
409922,19,383,383.11,383.22,-0.11,1,0,1,0
409940,19,383,383.11,383.22,-0.11,1,0,1,0
409958,19,383,383.11,383.22,-0.11,1,0,1,0
409976,19,383,383.11,383.22,-0.11,1,0,1,0
409994,19,383,383.11,383.22,-0.11,1,0,1,0
410012,19,383,383.11,383.22,-0.11,1,0,1,0
410030,19,383,383.11,383.22,-0.11,1,0,1,0
410048,19,386,383.11,383.11,0.00,1,0,1,0
410066,19,384,383.11,383.11,0.00,1,0,1,0
410084,19,383,383.00,383.11,-0.11,1,0,1,0
410102,19,383,383.00,383.11,-0.11,1,0,1,0
410120,19,383,383.00,383.11,-0.11,1,0,1,0
410138,19,383,383.00,383.11,-0.11,1,0,1,0
410156,19,383,383.00,383.11,-0.11,1,0,1,0
410174,19,383,383.00,383.11,-0.11,1,0,1,0
410192,19,383,383.00,383.11,-0.11,1,0,1,0
410210,19,387,383.00,383.00,0.00,1,0,1,0
410228,19,385,383.00,383.00,0.00,1,0,1,0
410246,19,384,383.00,383.00,0.00,1,0,1,0
410264,19,383,383.00,383.00,0.00,1,0,1,0
410283,19,383,383.00,383.00,0.00,1,0,1,0
410301,19,383,383.00,383.00,0.00,1,0,1,0
410319,19,383,383.00,383.00,0.00,1,0,1,0
410337,19,383,383.00,383.00,0.00,1,0,1,0
410355,19,383,383.00,383.00,0.00,1,0,1,0
410373,19,388,383.11,383.00,0.11,1,0,1,0
410391,19,385,383.11,383.00,0.11,1,0,1,0
410409,19,384,383.11,383.00,0.11,1,0,1,0
410427,19,383,383.11,383.00,0.11,1,0,1,0
410445,19,383,383.11,383.00,0.11,1,0,1,0
410463,19,383,383.11,383.00,0.11,1,0,1,0
410481,19,383,383.11,383.00,0.11,1,0,1,0
410499,19,383,383.11,383.11,0.00,1,0,1,0
410517,19,383,383.11,383.11,0.00,1,0,1,0
410535,19,389,383.22,383.11,0.11,1,0,1,0
410553,19,386,383.22,383.11,0.11,1,0,1,0
410571,19,384,383.22,383.11,0.11,1,0,1,0
410589,19,384,383.22,383.11,0.11,1,0,1,0
410607,19,383,383.22,383.11,0.11,1,0,1,0
410625,19,383,383.22,383.11,0.11,1,0,1,0
410643,19,383,383.22,383.11,0.11,1,0,1,0
410661,19,383,383.22,383.22,0.00,1,0,1,0
410679,19,383,383.22,383.22,0.00,1,0,1,0
410697,19,386,383.33,383.22,0.11,1,0,1,0
410715,19,387,383.33,383.22,0.11,1,0,1,0
410733,19,385,383.33,383.22,0.11,1,0,1,0
410752,19,384,383.33,383.22,0.11,1,0,1,0
410770,19,383,383.33,383.22,0.11,1,0,1,0
410788,19,383,383.33,383.22,0.11,1,0,1,0
410806,19,383,383.33,383.22,0.11,1,0,1,0
410824,19,383,383.33,383.33,0.00,1,0,1,0
410842,19,382,383.33,383.33,0.00,1,0,1,0
410860,19,383,383.33,383.33,0.00,1,0,1,0
410878,19,387,383.33,383.33,0.00,1,0,1,0
410896,19,385,383.33,383.33,0.00,1,0,1,0
410914,19,384,383.33,383.33,0.00,1,0,1,0
410932,19,383,383.22,383.33,-0.11,1,0,1,0
410950,19,384,383.33,383.33,0.00,1,0,1,0
410968,19,383,383.33,383.33,0.00,1,0,1,0
410986,19,384,383.44,383.33,0.11,1,0,1,0
411004,19,383,383.44,383.33,0.11,1,0,1,0
411022,19,379,383.44,383.33,0.11,1,0,1,0
411040,19,389,383.44,383.33,0.11,1,0,1,0
411058,19,385,383.44,383.22,0.22,1,0,1,0
411076,19,384,383.44,383.33,0.11,1,0,1,0
411094,19,384,383.44,383.33,0.11,1,0,1,0
411112,19,383,383.44,383.44,0.00,1,0,1,0
411130,19,383,383.44,383.44,0.00,1,0,1,0
411148,19,383,383.44,383.44,0.00,1,0,1,0
411166,19,383,383.44,383.44,0.00,1,0,1,0
411184,19,383,383.44,383.44,0.00,1,0,1,0
411202,19,383,383.44,383.44,0.00,1,0,1,0
411220,19,386,383.44,383.44,0.00,1,0,1,0
411238,19,384,383.44,383.44,0.00,1,0,1,0
411256,19,383,383.33,383.44,-0.11,1,0,1,0
411274,19,383,383.33,383.44,-0.11,1,0,1,0
411292,19,383,383.22,383.44,-0.22,1,0,1,0
411310,19,383,383.22,383.44,-0.22,1,0,1,0
411328,19,383,383.11,383.44,-0.33,1,0,1,0
411346,19,383,383.11,383.44,-0.33,1,0,1,0
411364,19,383,383.11,383.44,-0.33,1,0,1,0
411382,19,387,383.11,383.33,-0.22,1,0,1,0
411400,19,382,383.00,383.33,-0.33,1,0,1,0
411418,19,384,383.00,383.22,-0.22,1,0,1,0
411436,19,383,383.00,383.22,-0.22,1,0,1,0
411454,19,383,383.00,383.11,-0.11,1,0,1,0
