"Time","myMedian.getCount()","currentADC","currentAverage","lastSignificantAverage","deltaAverage","triggered","ramping","rampDir","rampValue"
10788,19,304,302.70,302.80,-0.10,0,0,0,0
10806,19,308,302.80,302.70,0.10,0,0,0,0
10824,19,299,302.50,302.30,0.20,0,0,0,0
10842,19,304,302.60,302.60,0.00,0,0,0,0
10860,19,303,302.90,302.90,0.00,0,0,0,0
10878,19,307,303.40,302.80,0.60,0,0,0,0
10896,19,300,303.40,302.80,0.60,0,0,0,0
10914,19,299,303.00,302.70,0.30,0,0,0,0
10932,19,296,303.00,302.80,0.20,0,0,0,0
10950,19,343,303.60,302.50,1.10,0,0,0,0
10968,19,307,303.60,302.60,1.00,0,0,0,0
10986,19,304,303.40,302.90,0.50,0,0,0,0
11004,19,303,303.40,303.40,0.00,0,0,0,0
11022,19,305,303.60,303.40,0.20,0,0,0,0
11040,19,300,303.60,303.00,0.60,0,0,0,0
11058,19,340,304.00,303.00,1.00,0,0,0,0
11076,19,308,304.00,303.60,0.40,0,0,0,0
11094,19,305,304.00,303.60,0.40,0,0,0,0
11112,19,300,303.50,303.40,0.10,0,0,0,0
11130,19,304,303.50,303.40,0.10,0,0,0,0
11148,19,311,303.50,303.60,-0.10,0,0,0,0
11166,19,304,303.90,303.60,0.30,0,0,0,0
11184,19,300,303.50,304.00,-0.50,0,0,0,0
11202,19,300,303.20,304.00,-0.80,0,0,0,0
11220,19,304,302.90,304.00,-1.10,0,0,0,0
11238,19,304,303.30,303.50,-0.20,0,0,0,0
11256,19,284,303.30,303.50,-0.20,0,0,0,0
11274,19,319,304.00,303.50,0.50,0,0,0,0
11292,19,306,303.90,303.90,0.00,0,0,0,0
11310,19,304,303.70,303.50,0.20,0,0,0,0
11328,19,300,303.30,303.20,0.10,0,0,0,0
11346,19,302,303.20,302.90,0.30,0,0,0,0
11364,19,305,303.20,303.30,-0.10,0,0,0,0
11382,19,310,303.80,303.30,0.50,0,0,0,0
11400,19,306,303.80,304.00,-0.20,0,0,0,0
11418,19,304,303.60,303.90,-0.30,0,0,0,0
11436,19,308,303.70,303.70,0.00,0,0,0,0
11454,19,300,303.70,303.30,0.40,0,0,0,0
11472,19,299,303.30,303.20,0.10,0,0,0,0
11490,19,304,303.10,303.20,-0.10,0,0,0,0
11508,19,300,302.70,303.80,-1.10,0,0,0,0
11526,19,305,303.20,303.80,-0.60,0,0,0,0
11544,19,307,303.80,303.60,0.20,0,0,0,0
11563,19,303,303.70,303.70,0.00,0,0,0,0
11581,19,326,303.90,303.70,0.20,0,0,0,0
11599,19,311,304.60,303.30,1.30,0,0,0,0
11617,19,306,304.50,303.10,1.40,0,0,0,0
11635,19,304,304.30,302.70,1.60,0,0,0,0
11653,19,305,304.40,303.20,1.20,0,0,0,0
11671,19,300,304.40,303.80,0.60,0,0,0,0
11689,19,300,304.20,303.70,0.50,0,0,0,0
11707,19,307,304.40,303.90,0.50,0,0,0,0
11725,19,302,303.90,304.60,-0.70,0,0,0,0
11743,19,305,303.80,304.50,-0.70,0,0,0,0
11761,19,296,303.40,304.30,-0.90,0,0,0,0
11779,19,300,302.80,304.40,-1.60,0,0,0,0
11797,19,307,303.40,304.40,-1.00,0,0,0,0
11815,19,299,303.40,304.20,-0.80,0,0,0,0
11833,19,304,303.40,304.40,-1.00,0,0,0,0
11851,19,300,303.40,303.90,-0.50,0,0,0,0
11869,19,304,303.30,303.80,-0.50,0,0,0,0
11887,19,303,303.00,303.40,-0.40,0,0,0,0
11905,19,327,303.30,302.80,0.50,0,0,0,0
11923,19,309,303.30,303.40,-0.10,0,0,0,0
11941,19,309,303.30,303.40,-0.10,0,0,0,0
11959,19,304,303.10,303.40,-0.30,0,0,0,0
11977,19,300,302.70,303.40,-0.70,0,0,0,0
11995,19,303,302.50,303.30,-0.80,0,0,0,0
12013,19,299,302.50,303.00,-0.50,0,0,0,0
12032,19,315,303.20,303.30,-0.10,0,0,0,0
12050,19,305,303.00,303.30,-0.30,0,0,0,0
12068,19,304,303.20,303.30,-0.10,0,0,0,0
12086,19,300,302.70,303.10,-0.40,0,0,0,0
12104,19,300,302.70,302.70,0.00,0,0,0,0
12122,19,299,302.70,302.50,0.20,0,0,0,0
12140,19,300,302.20,302.50,-0.30,0,0,0,0
12158,19,300,302.20,303.20,-1.00,0,0,0,0
12176,19,300,301.80,303.00,-1.20,0,0,0,0
12194,19,304,302.20,303.20,-1.00,0,0,0,0
12212,19,296,301.80,302.70,-0.90,0,0,0,0
12230,19,339,302.00,302.70,-0.70,0,0,0,0
12248,19,304,301.90,302.70,-0.80,0,0,0,0
12266,19,301,301.60,302.20,-0.60,0,0,0,0
12284,19,304,301.60,302.20,-0.60,0,0,0,0
12302,19,303,301.50,301.80,-0.30,0,0,0,0
12320,19,304,301.90,302.20,-0.30,0,0,0,0
12338,19,300,301.60,301.80,-0.20,0,0,0,0
12356,19,303,301.90,302.00,-0.10,0,0,0,0
12374,19,305,301.90,301.90,0.00,0,0,0,0
12392,19,304,301.90,301.60,0.30,0,0,0,0
12410,19,303,301.80,301.60,0.20,0,0,0,0
12428,19,288,301.80,301.50,0.30,0,0,0,0
12446,19,299,301.80,301.90,-0.10,0,0,0,0
12464,19,304,302.20,301.60,0.60,0,0,0,0
12482,19,307,302.60,301.90,0.70,0,0,0,0
12500,19,300,302.60,301.90,0.70,0,0,0,0
12518,19,304,303.00,301.90,1.10,0,0,0,0
12536,19,288,302.60,301.80,0.80,0,0,0,0
12554,19,315,303.00,301.80,1.20,0,0,0,0
12572,19,303,302.90,301.80,1.10,0,0,0,0
12590,19,304,302.90,302.20,0.70,0,0,0,0
12608,19,299,302.80,302.60,0.20,0,0,0,0
12626,19,303,302.70,302.60,0.10,0,0,0,0
12644,19,299,302.30,303.00,-0.70,0,0,0,0
12662,19,307,302.30,302.60,-0.30,0,0,0,0
12680,19,303,302.60,303.00,-0.40,0,0,0,0
12698,19,301,302.40,302.90,-0.50,0,0,0,0
12716,19,304,302.40,302.90,-0.50,0,0,0,0
12734,19,300,302.00,302.80,-0.80,0,0,0,0
12752,19,320,302.10,302.70,-0.60,0,0,0,0
12770,19,303,302.50,302.30,0.20,0,0,0,0
12788,19,299,302.50,302.30,0.20,0,0,0,0
12806,19,304,302.50,302.60,-0.10,0,0,0,0
12824,19,300,302.10,302.40,-0.30,0,0,0,0
12843,19,304,302.50,302.40,0.10,0,0,0,0
12861,19,323,302.50,302.00,0.50,0,0,0,0
12879,19,307,302.90,302.10,0.80,0,0,0,0
12897,19,306,302.90,302.50,0.40,0,0,0,0
12915,19,304,303.00,302.50,0.50,0,0,0,0
12933,19,304,303.00,302.50,0.50,0,0,0,0
12951,19,300,303.00,302.10,0.90,0,0,0,0
12969,19,303,303.00,302.50,0.50,0,0,0,0
12987,19,300,303.00,302.50,0.50,0,0,0,0
13005,19,302,302.80,302.90,-0.10,0,0,0,0
13023,19,300,302.50,302.90,-0.40,0,0,0,0
13041,19,300,302.40,303.00,-0.60,0,0,0,0
13059,19,303,302.30,303.00,-0.70,0,0,0,0
