"Time","myMedian.getCount()","currentADC","currentAverage","lastSignificantAverage","deltaAverage","triggered","ramping","rampDir","rampValue"
7759,19,303,304.10,303.80,0.30,0,0,0,0
7777,19,305,304.20,304.10,0.10,0,0,0,0
7795,19,304,304.20,304.10,0.10,0,0,0,0
7813,19,351,304.20,304.10,0.10,0,0,0,0
7831,19,309,304.20,304.20,0.00,0,0,0,0
7849,19,305,304.20,304.20,0.00,0,0,0,0
7867,19,304,304.30,304.20,0.10,0,0,0,0
7885,19,304,304.20,304.10,0.10,0,0,0,0
7903,19,305,304.30,304.20,0.10,0,0,0,0
7921,19,303,304.30,304.20,0.10,0,0,0,0
7939,19,304,304.30,304.20,0.10,0,0,0,0
7957,19,312,304.40,304.20,0.20,0,0,0,0
7975,19,304,304.30,304.20,0.10,0,0,0,0
7993,19,307,304.30,304.30,0.00,0,0,0,0
8011,19,292,304.30,304.20,0.10,0,0,0,0
8029,19,359,304.60,304.30,0.30,0,0,0,0
8047,19,308,304.60,304.30,0.30,0,0,0,0
8065,19,308,305.00,304.30,0.70,0,0,0,0
8083,19,308,305.40,304.40,1.00,0,0,0,0
8101,19,300,305.40,304.30,1.10,0,0,0,0
8119,19,292,305.30,304.30,1.00,0,0,0,0
8137,19,319,305.70,304.30,1.40,0,0,0,0
8155,19,308,305.70,304.60,1.10,0,0,0,0
8173,19,305,305.40,304.60,0.80,0,0,0,0
8192,19,304,305.30,305.00,0.30,0,0,0,0
8210,19,304,305.30,305.40,-0.10,0,0,0,0
8228,19,304,305.30,305.40,-0.10,0,0,0,0
8246,19,300,305.10,305.30,-0.20,0,0,0,0
8264,19,300,304.80,305.70,-0.90,0,0,0,0
8282,19,305,304.90,305.70,-0.80,0,0,0,0
8300,19,305,304.60,305.40,-0.80,0,0,0,0
8318,19,304,304.60,305.30,-0.70,0,0,0,0
8336,19,288,303.90,305.30,-1.40,0,0,0,0
8354,19,300,303.90,305.30,-1.40,0,0,0,0
8372,19,300,303.10,305.10,-2.00,0,0,0,0
8390,19,307,303.10,304.80,-1.70,0,0,0,0
8408,19,304,303.00,304.90,-1.90,0,0,0,0
8426,19,303,302.80,304.60,-1.80,0,0,0,0
8444,19,328,303.30,304.60,-1.30,0,0,0,0
8462,19,315,303.80,303.90,-0.10,0,0,0,0
